Treatment;Total number of fruits  (fruits/plant);Total fresh mass (g/plant);Comercial number of fruits (fruits/plant);Comercial mass fresh  (Fruits/ plant);Diameter (cm);Lenght (cm);Total solids solubles (TSS) (ºBrix); Total yield (kg/m2);Comercial yield  (kg/m2);;;;;;;;;;;;;
V1B1D1*;32,25;322,00;30,00;317,50;2,51;2,90;6,65;5,15;5,08;;;;;;;;;;;;;
V1B2D1;33,50;400,75;32,00;388,25;2,65;3,16;6,36;6,41;6,21;;V*variety;;;;;;;;;;;
V1B3D1;33,50;330,00;33,25;341,75;2,38;3,07;6,31;5,28;5,47;;B*Block;;;;;;;;;;;
V1B4D1;33,08;350,92;31,75;349,17;2,51;3,04;6,44;5,61;5,59;;D*Dose;;;;;;;;;;;
V1B1D2;25,75;231,75;25,00;230,50;2,21;2,76;6,41;3,71;3,69;;;;;;;;;;;;;
V1B2D2;24,00;250,25;22,00;247,50;2,40;2,95;6,55;4,00;3,96;;V1-Dover;;;;;;;;;;;
V1B3D2;27,75;273,50;27,25;270,00;2,32;3,00;6,09;4,38;4,32;;V2-Sweet Charly;;;;;;;;;;;
V1B4D2;25,83;251,83;24,75;249,33;2,31;2,90;6,35;4,03;3,99;;V3 Sabrina;;;;;;;;;;;
V1B1D3;28,00;277,50;27,50;276,25;2,43;3,01;7,17;4,44;4,42;;V4 Early Bright;;;;;;;;;;;
V1B2D3;26,75;257,75;26,00;253,25;2,36;2,89;6,28;4,12;4,05;;V5 Camino Real;;;;;;;;;;;
V1B3D3;24,75;278,00;24,00;276,00;2,54;3,14;5,66;4,45;4,42;;V6 Festival;;;;;;;;;;;
V1B4D3;26,50;271,08;25,83;268,50;2,44;3,01;6,37;4,34;4,30;;;;;;;;;;;;;
V2B1D1;18,00;163,00;20,25;144,75;2,47;2,79;6,58;2,61;2,32;;;;;;;;;;;;;
V2B2D1;22,25;205,75;19,25;187,25;2,45;2,88;6,68;3,29;3,00;;;;;;;;;;;;;
V2B3D1;20,33;186,33;19,17;168,25;2,46;2,79;6,37;2,98;2,69;;;;;;;;;;;;;
V2B4D1;20,75;190,25;18,00;172,75;2,48;2,72;5,83;3,04;2,76;;;;;;;;;;;;;
V2B1D2;11,50;123,00;7,25;85,50;2,57;2,80;6,33;1,97;1,37;;;;;;;;;;;;;
V2B2D2;9,92;87,08;6,58;61,83;2,47;2,50;6,03;1,39;0,99;;;;;;;;;;;;;
V2B3D2;8,50;62,00;4,50;35,50;2,26;2,23;6,67;0,99;0,57;;;;;;;;;;;;;
V2B4D2;9,75;76,25;8,00;64,50;2,56;2,48;5,08;1,22;1,03;;;;;;;;;;;;;
V2B1D3;13,75;134,00;11,50;118,75;2,61;2,77;6,94;2,14;1,90;;;;;;;;;;;;;
V2B2D3;11,83;103,58;8,83;82,17;2,49;2,74;6,89;1,66;1,31;;;;;;;;;;;;;
V2B3D3;11,00;84,00;6,75;50,75;2,35;2,69;6,67;1,34;0,81;;;;;;;;;;;;;
V2B4D3;10,75;92,75;8,25;77,00;2,51;2,76;7,06;1,48;1,23;;;;;;;;;;;;;
V3B1D1;8,08;71,58;5,42;51,83;2,33;2,91;5,21;1,15;0,83;;;;;;;;;;;;;
V3B2D1;8,75;60,25;4,75;36,75;2,24;2,63;5,67;0,96;0,59;;;;;;;;;;;;;
V3B3D1;7,75;68,25;5,25;49,75;2,21;2,91;5,83;1,09;0,80;;;;;;;;;;;;;
V3B4D1;7,75;86,25;6,25;69,00;2,55;3,18;4,13;1,38;1,10;;;;;;;;;;;;;
V3B1D2;9,50;93,50;4,75;48,00;2,46;2,84;5,44;1,50;0,77;;;;;;;;;;;;;
V3B2D2;9,75;85,25;6,50;59,75;2,28;2,86;6,13;1,36;0,96;;;;;;;;;;;;;
V3B3D2;7,00;56,25;4,00;26,75;2,27;2,71;5,58;0,90;0,43;;;;;;;;;;;;;
V3B4D2;8,75;78,33;5,08;44,83;2,34;2,80;5,72;1,25;0,72;;;;;;;;;;;;;
V1B1D3;7,75;68,25;5,25;50,25;2,47;3,10;5,25;1,09;0,80;;;;;;;;;;;;;
V3B2D3;9,50;108,25;6,25;73,00;2,56;3,28;5,62;1,73;1,17;;;;;;;;;;;;;
V3B3D3;8,58;49,75;2,50;27,50;2,49;2,99;5,88;0,80;0,44;;;;;;;;;;;;;
V3B4D3;8,50;91,25;6,25;59,75;2,57;3,23;4,54;1,46;0,96;;;;;;;;;;;;;
V4B1D1;22,00;207,50;18,75;178,25;2,45;3,01;6,18;3,32;2,85;;;;;;;;;;;;;
V4B2D1;18,25;313,25;17,75;308,75;3,00;3,61;7,28;5,01;4,94;;;;;;;;;;;;;
V4B3D1;19,00;295,25;19,00;304,75;2,88;3,84;7,89;4,72;4,88;;;;;;;;;;;;;
V4B4D1;19,75;272,00;18,50;263,92;2,78;3,49;7,12;4,35;4,22;;;;;;;;;;;;;
V4B1D2;13,25;128,50;9,50;101,00;2,37;2,94;5,40;2,06;1,62;;;;;;;;;;;;;
V4B2D2;11,33;155,75;9,17;138,67;2,80;3,47;6,53;2,49;2,22;;;;;;;;;;;;;
V4B3D2;11,00;150,00;9,00;140,00;2,63;3,25;6,59;2,40;2,24;;;;;;;;;;;;;
V4B4D2;9,75;188,75;9,00;175,00;3,41;4,23;7,60;3,02;2,80;;;;;;;;;;;;;
V4B1D3;13,50;98,75;9,25;71,75;2,13;2,68;6,63;1,58;1,15;;;;;;;;;;;;;
V4B2D3;15,75;155,75;14,50;154,50;2,38;2,80;5,96;2,49;2,47;;;;;;;;;;;;;
V4B3D3;14,00;254,00;13,50;249,50;3,04;4,03;8,04;4,06;3,99;;;;;;;;;;;;;
V4B4D3;12,00;141,25;12,00;141,25;2,87;3,17;6,69;2,26;2,26;;;;;;;;;;;;;
V5B1D1;9,50;68,00;4,67;44,67;2,09;2,76;5,62;1,09;0,71;;;;;;;;;;;;;
V5B2D1;10,75;88,75;8,67;77,67;6,66;8,58;5,51;1,42;1,24;;;;;;;;;;;;;
V5B3D1;10,13;78,38;6,67;61,17;4,38;5,67;5,56;1,25;0,98;;;;;;;;;;;;;
V5B4D1;10,13;78,38;6,67;61,17;4,38;5,67;5,56;1,25;0,98;;;;;;;;;;;;;
V5B1D2;12,00;90,63;10,88;85,88;2,32;2,63;4,93;1,45;1,37;;;;;;;;;;;;;
V5B2D2;12,00;90,63;10,88;85,88;2,32;2,63;4,93;1,45;1,37;;;;;;;;;;;;;
V5B3D2;13,75;109,75;11,50;97,75;2,35;2,67;5,92;1,76;1,56;;;;;;;;;;;;;
V5B4D2;10,25;71,50;10,25;74,00;2,29;2,59;3,95;1,14;1,18;;;;;;;;;;;;;
V5B1D3;13,38;130,13;11,75;121,00;2,51;2,97;5,94;2,08;1,94;;;;;;;;;;;;;
V5B2D3;13,38;130,13;11,75;121,00;2,51;2,97;5,94;2,08;1,94;;;;;;;;;;;;;
V5B3D3;12,25;123,50;10,75;112,50;2,62;3,07;5,83;1,98;1,80;;;;;;;;;;;;;
V5B4D3;14,50;136,75;12,75;129,50;2,40;2,87;6,05;2,19;2,07;;;;;;;;;;;;;
V6B1D1;14,25;221,75;13,50;216,25;3,02;3,27;7,54;3,55;3,46;;;;;;;;;;;;;
V6B2D1;17,75;241,25;16,50;226,75;2,97;3,14;6,15;3,86;3,63;;;;;;;;;;;;;
V6B3D1;18,25;239,00;16,75;228,25;2,73;3,08;6,83;3,82;3,65;;;;;;;;;;;;;
V6B4D1;15,69;204,88;14,19;192,94;2,80;3,07;6,48;3,28;3,09;;;;;;;;;;;;;
V6B1D2;15,50;195,25;13,25;173,00;2,84;3,47;6,61;3,12;2,77;;;;;;;;;;;;;
V6B2D2;12,00;127,00;8,75;104,75;2,61;2,80;6,32;2,03;1,68;;;;;;;;;;;;;
V6B3D2;10,94;126,94;8,94;110,38;2,63;3,03;6,13;2,03;1,77;;;;;;;;;;;;;
V6B4D2;8,50;93,25;7,00;78,75;2,58;2,78;5,67;1,49;1,26;;;;;;;;;;;;;
V6B1D3;9,50;116,50;7,75;106,50;2,75;2,80;7,29;1,86;1,70;;;;;;;;;;;;;
V6B2D3;9,00;144,25;8,00;130,00;3,15;3,35;8,18;2,31;2,08;;;;;;;;;;;;;
V6B3D3;7,00;75,00;4,75;51,25;2,53;2,94;6,88;1,20;0,82;;;;;;;;;;;;;
V6B4D3;8,50;111,92;6,83;95,92;2,81;3,03;7,45;1,79;1,53;;;;;;;;;;;;;
V7B1D1;12,75;162,00;12,25;157,00;2,86;3,37;5,79;2,59;2,51;;;;;;;;;;;;;
V7B2D1;12,25;129,25;11,25;121,75;2,43;3,18;6,18;2,07;1,95;;;;;;;;;;;;;
V7B3D1;13,83;156,42;12,67;148,75;2,61;3,24;5,98;2,50;2,38;;;;;;;;;;;;;
V7B4D1;16,50;178,00;14,50;167,50;2,54;3,16;5,97;2,85;2,68;;;;;;;;;;;;;
V7B1D2;22,25;261,75;21,75;260,50;2,66;3,29;5,37;4,19;4,17;;;;;;;;;;;;;
